Production of titanium minerals,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
2:,"Some ilmenite is converted to synthetic rutile in Australia, India, Japan and USA",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
3:,In 1995 South Africa produced 988 000 tonnes of slag (85% TiO2) and Canada produced 816 000 tonnes of slag (80% TiO2),,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
3:,In 2008 South Africa produced an estimated 1 200 000 tonnes of slag (85% TiO2) and Canada produced an estimated 1 110 000 tonnes of slg (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2004 Onwards),,,
3:,In 2009 South Africa produced an estimated 1 850 000 tonnes of slag (85% TiO2) and Canada produced an estimated 800 000 tonnes of slag (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2005 Onwards),,,
3:,In 2010 South Africa produced an estimated xxxxx tonnes of slag (85% TiO2) and Canada produced an estimated xxxxx tonnes of slag (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2006 Onwards),,,
4:,In 1992 Canada produced 753 000 tonnes of slag (80% TiO2),,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),"Canada produces some ilmenite which is sold as such and not processed into slag, but tonnages are small",,,,,,,,,,,,,,,,,,,,,,
b),It is believed that the majority of this is processed into slag.,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
e),Including synthetic rutile,,,,,,,,,,,,,,,,,,,,,,
i),Exports,,,,,,,,,,,,,,,,,,,,,,
m),Including natural rutile,,,,,,,,,,,,,,,,,,,,,,
v),BGS estimates.,,,,,,,,,,,,,,,,,,,,,,
