Production of coal,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Nigeria,Sub-bituminous,,62410,,40360,,46000,,47000,,,,,,,,,,,,,,
North Macedonia,Lignite,,7309546,,6633560,,6469819,,5927749,,5130055,,5056918,,4946486,,5066083,,4532745,,4758504,,5520778
Norway,Bituminous,(d),1325000,(d),2135000,(d),1701000,(d),1203000,(d),962000,(d),134000,(d),142500,(d),107900,(d),74503,(d),113292,(d),110445
Pakistan,Coal,(a)(j),3178986,(a)(j),2813079,(a)(j),3340192,(a)(j),3407659,(a)(j),3749312,(a)(j),3953992,(a)(j),4470000,(a)(j),5406878,(a)(j),8599166,(a)(j),9229377,(a)(j),9677000
Peru,Anthracite & Bituminous,,226908,,211885,,229213,,251788,,266208,,301050,,216581,,181010,,131516,,144579,,180901
Philippines,Bituminous,,7348647,,7100033,,7601260,,7377639,,11211254,,11932328,,11755360,,13751291,,12951291,,14047681,,14457257
Poland,Bituminous,,79854904,,,,,,,,,,,,,,,,,,,,
Poland,Coking coal,,,,12115000,,12288000,,12985000,,13204000,,12482000,,12047000,,12071000,,12274000,,12581000,,12364750
Poland,Lignite,,64297772,,66139000,,64002000,,63135000,,60273000,,63060000,,61144000,,52855000,,47300000,,54851000,,57679000
Poland,Other bituminous coal,,,,64941000,,60983000,,59701000,,57580000,,53493000,,51767000,,50031000,,42467000,,42779000,,40780460
Romania,Anthracite & Bituminous,,1876062,,1839667,,1619347,,1418596,,1068507,,784433,,538092,,410765,,428368,,240128,,188901
Romania,Brown coal,,17700,,,,,,,,,,,,,,,,,,,,
Romania,Lignite,,31529377,,22902291,,22958755,,25424709,,22156556,,25232160,,23319839,,21653000,,15161420,,18151887,,18713709
Russia,Coal,,3.54e+08,,3.47e+08,,3.56e+08,,3.72e+08,,3.86e+08,,4.1e+08,,714443000,,714478000,,673145000,,706389000,,273048000
Serbia,Bituminous,,141000,,160000,,121000,,123000,,105000,,79000,,101000,,108000,,30000,,26000,,75000
Serbia,Brown coal,,316507,,340892,,354000,,351116,,355000,,342000,,277000,,350000,,306000,,271000,,233000
Serbia,Lignite,(n),37707017,(n),39752741,(n),29340000,(n),37308043,(n),37934000,(n),39353000,(n),37253000,(n),38420000,(n),39330000,(n),36118000,(n),34819000
Slovakia,Brown coal,,1964000,,2009000,,1885000,,1636000,,1622000,,1619000,,1257000,,1157000,,745000,,858000,,725000
Slovakia,Lignite,,136000,,179000,,166000,,97000,,195000,,56000,,169000,,270000,,211600,,205400,,117000
Slovenia,Brown coal,,314262,,50744,,,,,,,,,,,,,,,,,,
Slovenia,Lignite,,3967064,,3721188,,3108203,,3168001,,3348889,,3355664,,3216735,,3218696,,3259309,,2807476,,2745022
South Africa,Anthracite,,3005136,,3621283,,3516573,,3395505,,2612215,,2886078,,3316837,,3077839,,4301386,,3071699,,3278780
South Africa,Bituminous,,255570657,,252660850,,257881954,,248680484,,248399455,,249456924,,249939594,,251332874,,243780359,,225572858,,226315429
Spain,Anthracite,,2514649,,759930,,1263585,,1113336,,736035,,370445,,292898,,0,,0,,0,,0
Spain,Bituminous,,1823343,,1814328,,1343617,,610395,,365872,,791303,,483159,,0,,0,,0,,0
