Production of silver,mine,kilograms (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Serbia,,(a),8388,(a),5800,(a),8600,(a),7500,(a),11300,(a),12300,(a),9000,(a)*,14500,(a)*,15900,(a)*,11600,(a)*,12000
Slovakia,,,441,,508,,437,,532,,391,,410,,345,,295,,269,,328,,354
Solomon Islands,,,902,,685,,280,,,,,,,,,,,,,,,,
South Africa,,,67304,,68777,,49200,,51900,,55600,,62536,,46467,,55903,,38118,,37147,,45704
Spain,,,32943,*,27900,*,27300,,27300,,17600,,98600,,87780,,77501,,92751,,80848,,58235
Sudan,,*,700,*,700,*,1000,*,1000,*,1000,*,2000,*,2000,*,2000,*,1000,*,1000,*,1000
Sweden,,,309337,,341346,,382611,,479686,,498686,,467500,,443624,,419926,,400939,,428585,,422086
Tajikistan,,,1800,,1800,,1700,,2700,,3200,,6600,,9500,,10800,,3300,,11000,*,11000
Tanzania,,,11227,,11014,,14493,,15569,,17984,,10911,,12041,,12607,,13187,,9324,,13602
Thailand,,,32047,,32381,,29216,,26438,,26430,,0,,,,,,,,,,
Turkey,,,193890,,189600,,183880,,190550,,376640,,151490,,197320,,242000,,98270,,162670,,143260
USA,,,1055000,,1037000,,1184000,,1090000,,1150000,,1030000,,934000,,981000,,1080000,,1020000,,1010000
United Kingdom,,,230,,82,,0,,0,(h),14,,0,,0,*,130,*,100,*,400,,1300
Uzbekistan,,*,60000,*,23000,*,23000,*,230000,*,230000,,183500,,183500,,189700,,196000,*,211500,,217700
Zambia,,,,,,,,,0,,0,,0,,93,,7212,*,9000,*,9000,*,9000
Zimbabwe,,,,,,,,,,,1463,,1480,,1542,,1493,*,1500,*,1500,,1545
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Countries producing less than 1000 kg per year include Croatia, for the period 1993-95, and the Czech Republic and Finland in 1993 and 1994.",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
1:,"Countries producing less than 1000 kg per year include Croatia, for the period 1994-95, and the Czech Republic and Finland in 1994",,,,,,,,,,,,,,,,,,,(1994 Onwards),,,
1:,"Countries producing less than 1000 kg per year include Ethiopia and the Republic of Korea, and Croatia and Oman in 1995",,,,,,,,,,,,,,,,,,,(1995 Onwards),,,
1:,"Countries producing less than 1000 kg per year include Ethiopia, Republic of Korea and Oman",,,,,,,,,,,,,,,,,,,(1996 Onwards),,,
1:,Countries producing less than 1000 kg per year include the Republic of Korea and Oman,,,,,,,,,,,,,,,,,,,(1997 Onwards),,,
1:,"Countries producing less than 1000 kg per year include Jamaica, Oman and Thailand",,,,,,,,,,,,,,,,,,,(2000 Onwards),,,
1:,Countries producing less than 1000 kg per year include Jamaica and Thailand,,,,,,,,,,,,,,,,,,,(2004 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Smelter and/or refinery production,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 7 July of that stated,,,,,,,,,,,,,,,,,,,,,,
h),Sales,,,,,,,,,,,,,,,,,,,,,,
m),Production thought to be from stockpiles,,,,,,,,,,,,,,,,,,,,,,
