Production of gypsum and plaster,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Oman,,,1915300,,2785000,,3387300,,6049400,,5482900,,8664700,,9666700,,10982900,,11120200,,12290200,,9510100
Pakistan,,(b),1260021,(b),1249967,(b),1326437,(b),1417007,(b),1871716,(b),2079629,(b),2489000,(b),2517825,(b),2149872,(b),2527215,(b),2325000
Paraguay,,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500,*,4500
Peru,,,390705,,297527,,543856,,438025,,257423,,286657,,458479,,254382,,171093,,435009,,315292
Poland,,(a),1395400,(a),1270100,(a),1231858,(a),1099081,(a),1118484,(a),1108000,(a),1120344,(a),1150000,(a),1132368,(a),1123000,(a),1034000
Portugal,,,321988,,299038,,328730,,309966,,255026,,152059,,232921,,209076,,210231,,254913,,167673
Romania,,,765251,,1052065,,815586,,888746,,754009,,813520,,799810,,878546,,925782,,952617,,897176
Russia,,,4179000,,4223000,*,4400000,*,4400000,*,4400000,*,4e+06,*,3800000,*,5500000,*,4200000,*,4200000,*,4100000
Saudi Arabia,,,1700000,,1700000,,1780000,,2780000,,3e+06,,3150000,,3307000,,3472000,,3803000,,3993000,*,4e+06
Slovakia,,(a),88000,(a),60000,(a),65000,(a),67000,(a),53000,(a),45700,(a),55000,(a),50000,(a),65560,(a),66760,(a),54000
South Africa,,,558242,,559443,,376223,,232878,,266811,,317990,,313909,,277102,,205542,,273241,,243052
Spain,,,6359923,,7388699,,6925120,,7403767,,8936364,,9545228,,10593056,,11279443,,13376353,,14629150,,14381037
Sri Lanka,,*,600,*,600,,800,,1120,,1996,,2213,*,2200,*,2200,*,2200,*,2200,*,2200
Sudan,,,117073,,132000,,2e+05,,24136,,349236,,333000,,226000,,236000,,173000,,136000,,140000
Switzerland,,,297000,,284000,*#,340000,*,320000,*,340000,*,330000,*,330000,*,330000,*,320000,*,330000,*,330000
Syria,,*,2e+05,*,1e+05,*,50000,*,25000,*,10000,*,10000,*#,66000,*,66000,*,70000,*,70000,*,70000
Tajikistan,,,13700,,12200,,12900,,8500,,8814,,48800,,9613,,10031,,8183,*,8100,*,8100
Tanzania,,,91610,,171567,,200179,,239302,,213507,,123645,,241259,,256529,,443926,,598053,,604408
Thailand,Anhydrite,,857172,,1264077,,976818,,876024,,1240724,,1392693,,1517228,,1419587,,1266826,,1614157,,1824637
Thailand,,,11447199,,12382648,,12445100,,11267144,,10718622,,9253951,,9680429,,8367700,,8012293,,8788841,,8022925
Tunisia,,,752641,,744589,,771652,,690000,,902394,,944245,,984031,,1046885,,890000,*,910000,*,9e+05
Turkey,,,8248446,,9790097,,9051158,,8638715,,10124221,,10223112,,10896476,,7489129,,9280864,,10620061,,10176459
USA,,,12800000,,15700000,,18300000,,18800000,,19800000,,20700000,,21100000,,21700000,,21200000,,22300000,*,2.2e+07
Uganda,,,,,,,0,,0,,0,,60,,,,,,,,,,
Ukraine,,(a),2185800,(a),2175400,(a),1525300,(a),1254900,(a),1303000,(a),1528900,(a),1386400,(a),1409400,(a),1529000,(a),1783300,(a)*,750000
United Kingdom,,*,8e+05,*,7e+05,*,1100000,*,1800000,*,1600000,*,1300000,*,1400000,*,1600000,*,1300000,*,2400000,*,2400000
Uzbekistan,,*,80000,*,80000,*,80000,*,80000,*,80000,*,80000,,323809,,279432,,288657,,303938,*,3e+05
"Yemen, Republic of",,*,1e+05,*,1e+05,*,1e+05,*,30000,*,12000,*,12500,*,9500,*,11500,*,11000,*,11500,*,11000
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Some countries produce large quantities of synthetic gypsum. Where possible, this output is excluded from the table.",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
1:,"Some countries produce large quantities of synthetic gypsum. Where possible, this output is excluded from the table",,,,,,,,,,,,,,,,,,,(2001 Onwards),,,
2:,"In addition to the countries listed, Japan may also produce gypsum.",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
2:,"In addition to the countries listed, Indonesia, Japan and Vietnam may also produce gypsum.",,,,,,,,,,,,,,,,,,,(2012 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Including anhydrite,,,,,,,,,,,,,,,,,,,,,,
b),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 7 July of that stated,,,,,,,,,,,,,,,,,,,,,,
f),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
h),Including selenite,,,,,,,,,,,,,,,,,,,,,,
i),Excluding output from the region east of the River Nistru and the Municipality of Bender,,,,,,,,,,,,,,,,,,,,,,
n),Sales,,,,,,,,,,,,,,,,,,,,,,
